id,Name,Visitor Institution,Post Date,Host,Content,Permalink,Unix Start Date,Unix End Date,Academic Year (as defined on website backend = FY-1),Programs,International,Host Type
9044,Quinn Konopacky,"University of California, San Diego",1/8/2024,Jason Wang ,,https://ciera.northwestern.edu/visits/quinn-konopacky-2/,1705968000,1706054340,2024,astrophysics-seminars,0,Astro Faculty
9068,Yesukhei Jagvaral,Carnegie Mellon University,1/12/2024,Lena Murchikova,,https://ciera.northwestern.edu/visits/yesukhei-jagvaral/,1705449600,1705708740,2024,theory-group-meetings,0,Astro Faculty
9078,David Sand,University of Arizona,1/16/2024,SAGUARO Meeting,,https://ciera.northwestern.edu/visits/david-sand/,1705449600,1705622340,2024,,0,Astro Faculty
9079,Manisha Shrestha,University of Arizona,1/16/2024,SAGUARO Meeting,,https://ciera.northwestern.edu/visits/manisha-shrestha/,1705449600,1705622340,2024,,0,Astro Faculty
9080,Griffin Hosseinzadeh,University of Arizona,1/16/2024,SAGUARO Meeting,,https://ciera.northwestern.edu/visits/griffin-hosseinzadeh/,1705449600,1705622340,2024,,0,Astro Faculty
9042,Nahum Arav,Virginia Tech,1/8/2024,Claude-Andr� Faucher-Gigu�re,,https://ciera.northwestern.edu/visits/nahum-arav/,1705363200,1705449540,2024,astrophysics-seminars,1,Astro Faculty
9054,Lily Zhao,Center for Computational Astrophysics,1/9/2024,Adam Miller,,https://ciera.northwestern.edu/visits/lily-zhao/,1705017600,1705103940,2024,observational-astronomy-meetings,1,Astro Faculty
9040,Harley Katz,University of Chicago,1/8/2024,Allison Strom,,https://ciera.northwestern.edu/visits/harley-katz/,1704758400,1704844740,2024,astrophysics-seminars,0,Astro Faculty
9065,Alexander Ji,University of Chicago,1/11/2024,R Process Element Meeting,,https://ciera.northwestern.edu/visits/alexander-ji-2/,1702944000,1703030340,2024,,0,Astro Faculty
9066,Thomas Callister,University of Chicago,1/11/2024,R Process Element Meeting,,https://ciera.northwestern.edu/visits/thomas-callister/,1702944000,1703030340,2024,,0,Staff
9067,Kaley Brauer,University of Chicago,1/11/2024,R Process Element Meeting,,https://ciera.northwestern.edu/visits/kaley-brauer/,1702944000,1703030340,2024,,0,Astro Faculty
8981,Veronica Dike,"University of Illinois, Urbana-Champaign",11/28/2023,Sanaea Cooper Rose,,https://ciera.northwestern.edu/visits/veronica-dike/,1701907200,1702079940,2023,,0,Postdoc
8871,Melinda Soares-Furtado,University of Wisconsin-Madison,10/30/2023,Goni Halevi,,https://ciera.northwestern.edu/visits/melinda-soares-furtado-2/,1701302400,1701475140,2023,theory-group-meetings,0,Postdoc
8972,Andrea Antoni,UC Berkeley,11/21/2023,Ariadna Murguia,,https://ciera.northwestern.edu/visits/andrea-antoni-2/,1701216000,1701388800,2023,theory-group-meetings,0,Astro Faculty
8979,Qinan Wang,Johns Hopkins University,11/26/2023,Charlie Kilpatrick,,https://ciera.northwestern.edu/visits/qinan-wang/,1701043200,1701302340,2023,observational-astronomy-meetings,0,Group Meeting
8792,Mandy Chen,University of Chicago,10/23/2023,Allison Strom,,https://ciera.northwestern.edu/visits/mandy-chen/,1701216000,1701302340,2023,,0,Grad Student
8743,Natasha Batalha,NASA,10/10/2023,Allison Strom,,https://ciera.northwestern.edu/visits/natasha-batalha/,1701129600,1701215940,2023,astrophysics-seminars,0,Group Meeting
8904,Alisa Galishnikova,Princeton University ,11/7/2023,,,https://ciera.northwestern.edu/visits/alisa-galishnikova/,1699833600,1700179140,2023,theory-group-meetings,1,Astro Faculty
